name,rating,relevance_score,source_language,review,sentiment_score,sentiment,sentiment_score_mbert,sentiment_mbert
22fortinero,1,0.0,es,terrible terrible bad lose hotel day way back return arc airline arg despite return fly 1 ro porke suspend journey 2 fear volar plane little maintenance fly bondi never mass,-0.9509,Negative,-1.0,Negative
23russellv,2,0.0,en,one bad fly fly hundred airline possibly bad bad spirit sam amount room spirit seat recline spirit stick someone seat face flight 1 5 hour late good part notice floor wet think water bottle leak actually someone vomit left vomit tissue seat back clean we,-0.6369,Negative,-1.0,Negative
4family,1,0.0,en,terrible service flight first delay 25 minute suppose delay 1 hour time get everyone board slow unorganized take even late ask flight attendant could get first catch next flight say could nothing time come landing help we offer call airline let gate know come even though initially 2 5 hour layover flight miss next flight pay another 3900 new ticket flight miss travel insurance do not look like pay miss flight repurchase new flight suck bondi,-0.912,Negative,-1.0,Negative
5travellers602013,1,0.0,en,rubbish low cost airline buy 6 ticket via booking com say personal item handbag backpackto fit seat carry bag include consequently buy check luggage via flybondi website go counter say personal item include prepare accept booking com website print carry luggage include insist pay choice pay counter thoroughly disappoint attitude service,-0.2006,Negative,-1.0,Negative
885david_r885,1,0.0,en,refund cancel flight refund cancel flight basically steal everybody fare highly dubious consider much fare baggage tax,-0.8399,Negative,-1.0,Negative
_cgarate33,5,0.0,es,low cost incorporation low cost airline allow save good amount money trip also allow many person never travel plane could impeccable hygiene aircraft extremely friendly staff make comfortable certain degree pleasant informality,0.9509,Positive,0.5,Positive
aaraon c. i. comba,5,0.7953421629273401,es,second time travel everything go well way buy ticket pay check etc. simple etc. crew friendly without complicate solve inconvenience everyone wave pretty inside company flight always perfect Los volvere choose,0.9065,Positive,1.0,Positive
abel cortona,3,0.0019876282262599,es,respect flight everything well problem change arrival airport recognize anything fly aeroparque go ezeiza look car left,0.3612,Positive,-1.0,Negative
abel e c,1,0.0,es,flybondi impossible communicate live outside argentina flybondi airline change flight reprogramming help want change web charge surcharge mark phone impossible,0.4588,Positive,-1.0,Negative
abel oscar laghezza,1,5.817448467102328e-05,es,strand florianopolis cancel flight embark wait 10 hour July 24 2024 satisfactory response disaster,-0.5574,Negative,-1.0,Negative
adam,1,0.0,en,make European budget carrier look like emirate oversold flight 10 person bump we next flight 5 hour late apology compensation extremely long line check inefficiency gate agent impossible get thing do online check work pay extra 100 fly latam,0.3182,Positive,-1.0,Negative
